COMPANY|COUNTRY|REGION|UPDATED|CATEGORY
ABSA Bank Ltd|UK|UK|05/01/2016|UK Bank
Adam & Company plc|UK|UK|05/01/2016|UK Bank
Airdrie Savings Bank|UK|UK|05/01/2016|UK Bank
Alliance Trust Savings Ltd|UK|UK|05/01/2016|UK Bank
Arbuthnot Latham & Co Ltd|UK|UK|05/01/2016|UK Bank
Aldermore Bank plc|UK|UK|05/01/2016|UK Bank
Al Rayan Bank plc|UK|UK|05/01/2016|UK Bank
Atom Bank plc|UK|UK|05/01/2016|UK Bank
Bank and Clients Ltd|UK|UK|05/01/2016|UK Bank
Bank of Scotland plc|UK|UK|05/01/2016|UK Bank
Barclays Bank plc|UK|UK|05/01/2016|UK Bank
Barclays Bank Trust Company Ltd|UK|UK|05/01/2016|UK Bank
Bath Investment & Building Society|UK|UK|05/01/2016|UK Bank
Beverley Building Society|UK|UK|05/01/2016|UK Bank
BIRA Bank Ltd|UK|UK|05/01/2016|UK Bank
Buckinghamshire Building Society|UK|UK|05/01/2016|UK Bank
CAF Bank Ltd|UK|UK|05/01/2016|UK Bank
Cambridge Building Society|UK|UK|05/01/2016|UK Bank
Cambridge & Counties Bank Ltd|UK|UK|05/01/2016|UK Bank
The Charity Bank Ltd|UK|UK|05/01/2016|UK Bank
Charter Court Financial Services|UK|UK|05/01/2016|UK Bank
C Hoare & Co|UK|UK|05/01/2016|UK Bank
The Chorley & District Building Society|UK|UK|05/01/2016|UK Bank
City of Derry Building Society|UK|UK|05/01/2016|UK Bank
Close Brothers Ltd|UK|UK|05/01/2016|UK Bank
Consolidated Credits Bank Ltd|UK|UK|05/01/2016|UK Bank
The Co-operative Bank plc|UK|UK|05/01/2016|UK Bank
Coutts & Co|UK|UK|05/01/2016|UK Bank
Coventry Building Society|UK|UK|05/01/2016|UK Bank
Crown Agents Bank Ltd|UK|UK|05/01/2016|UK Bank
Cumberland Building Society|UK|UK|05/01/2016|UK Bank
Darlington Building Society|UK|UK|05/01/2016|UK Bank
Dudley Building Society|UK|UK|05/01/2016|UK Bank
Dunfermline BSSP|UK|UK|05/01/2016|UK Bank
Dunfermline Building Society|UK|UK|05/01/2016|UK Bank
Earl Shilton Building Society|UK|UK|05/01/2016|UK Bank
Ecology Building Society|UK|UK|05/01/2016|UK Bank
Furness Building Society|UK|UK|05/01/2016|UK Bank
Hampden & Co Plc|UK|UK|05/01/2016|UK Bank
Hanley Economic Building Society|UK|UK|05/01/2016|UK Bank
Harpenden Building Society|UK|UK|05/01/2016|UK Bank
Hinckley & Rugby Building Society|UK|UK|05/01/2016|UK Bank
Holmesdale Building Society|UK|UK|05/01/2016|UK Bank
HSBC Bank plc|UK|UK|05/01/2016|UK Bank
HSBC Bank USA NA|UK|UK|05/01/2016|UK Bank
HSBC Private Bank (UK) Ltd|UK|UK|05/01/2016|UK Bank
HSBC Trust Company (UK) Ltd|UK|UK|05/01/2016|UK Bank
Hampshire Trust Bank plc|UK|UK|05/01/2016|UK Bank
Harrods Bank Ltd|UK|UK|05/01/2016|UK Bank
The Hongkong & Shanghai Banking Corporation Ltd|UK|UK|05/01/2016|UK Bank
Investec Bank plc|UK|UK|05/01/2016|UK Bank
Ipswich Building Society|UK|UK|05/01/2016|UK Bank
Julian Hodge Bank Ltd|UK|UK|05/01/2016|UK Bank
Kingdom Bank Ltd|UK|UK|05/01/2016|UK Bank
Leeds Building Society|UK|UK|05/01/2016|UK Bank
Leek Building Society|UK|UK|05/01/2016|UK Bank
Lloyds Bank Plc|UK|UK|05/01/2016|UK Bank
Lloyds Bank Private Banking Ltd|UK|UK|05/01/2016|UK Bank
Loughborugh Building Society|UK|UK|05/01/2016|UK Bank
Manchester Building Society|UK|UK|05/01/2016|UK Bank
The Mansfield Building Society|UK|UK|05/01/2016|UK Bank
Market Harborough Building Society|UK|UK|05/01/2016|UK Bank
Marks and Spencer Financial Services plc|UK|UK|05/01/2016|UK Bank
Marsden Building Society|UK|UK|05/01/2016|UK Bank
Melton Mowbray Building Society|UK|UK|05/01/2016|UK Bank
Methodist Chapel Aid Ltd|UK|UK|05/01/2016|UK Bank
Metro Bank Plc|UK|UK|05/01/2016|UK Bank
Monmouthsire Building Society|UK|UK|05/01/2016|UK Bank
National Counties Building Society|UK|UK|05/01/2016|UK Bank
National Westminster Bank plc|UK|UK|05/01/2016|UK Bank
Nationwide Building Society|UK|UK|05/01/2016|UK Bank
Nedbank Private Wealth Ltd|UK|UK|05/01/2016|UK Bank
Newbury Building Society|UK|UK|05/01/2016|UK Bank
N M Rothschild & Sons Ltd|UK|UK|05/01/2016|UK Bank
Nottingham Building Society|UK|UK|05/01/2016|UK Bank
OakNorth Bank Limited|UK|UK|05/01/2016|UK Bank
OneSavings Bank Plc|UK|UK|05/01/2016|UK Bank
Paragon Bank Plc|UK|UK|05/01/2016|UK Bank
Penrithe Building Society|UK|UK|05/01/2016|UK Bank
Principality Building Society|UK|UK|05/01/2016|UK Bank
Progressive Building Society|UK|UK|05/01/2016|UK Bank
Rathbone Investment Management Ltd|UK|UK|05/01/2016|UK Bank
Reliance Bank Ltd|UK|UK|05/01/2016|UK Bank
Tandem Bank Limited|UK|UK|05/01/2016|UK Bank
The Royal Bank of Scotland plc|UK|UK|05/01/2016|UK Bank
The Royal Bank of Scotland NV|UK|UK|05/01/2016|UK Bank
TSB Bank Plc|UK|UK|05/01/2016|UK Bank
Saffron Building Society|UK|UK|05/01/2016|UK Bank
Sainsbury’s Bank plc|UK|UK|05/01/2016|UK Bank
Schroder & Co Ltd|UK|UK|05/01/2016|UK Bank
Scottish Building Society|UK|UK|05/01/2016|UK Bank
Scottish Widows Bank plc|UK|UK|05/01/2016|UK Bank
Secure Trust Bank plc|UK|UK|05/01/2016|UK Bank
Shawbrook Bank Ltd|UK|UK|05/01/2016|UK Bank
Skipton Building Society|UK|UK|05/01/2016|UK Bank
Smith & Williamson Investment Services Ltd|UK|UK|05/01/2016|UK Bank
Southsea Mortgage & Investment Co Ltd|UK|UK|05/01/2016|UK Bank
The Stafford Railway Building Society|UK|UK|05/01/2016|UK Bank
Standard Chartered Bank|UK|UK|05/01/2016|UK Bank
Swansea Building Society|UK|UK|05/01/2016|UK Bank
Teachers' Building Society|UK|UK|05/01/2016|UK Bank
Tesco Personal Finance Ltd|UK|UK|05/01/2016|UK Bank
Tipton and Coseley Building Society|UK|UK|05/01/2016|UK Bank
Ulster Bank Ltd|UK|UK|05/01/2016|UK Bank
Ulster Bank Ireland Ltd|UK|UK|05/01/2016|UK Bank
United Trust Bank Ltd|UK|UK|05/01/2016|UK Bank
Unity Trust Bank plc|UK|UK|05/01/2016|UK Bank
Vanquis Bank Ltd|UK|UK|05/01/2016|UK Bank
Vernon Building Society|UK|UK|05/01/2016|UK Bank
Virgin Money plc|UK|UK|05/01/2016|UK Bank
Weatherbys Bank Ltd|UK|UK|05/01/2016|UK Bank
Wesleyan Bank Ltd|UK|UK|05/01/2016|UK Bank
West Bromwich Building Society|UK|UK|05/01/2016|UK Bank
Yorkshire Building Society|UK|UK|05/01/2016|UK Bank
Abbey National Treasury Services plc|UK|UK|05/01/2016|Other EU
ABN AMRO Bank NV|UK|UK|05/01/2016|Other EU
AIB Group (UK) plc|UK|UK|05/01/2016|Other EU
Allfunds Bank SA|UK|UK|05/01/2016|Other EU
Allied Irish Banks plc|UK|UK|05/01/2016|Other EU
Alpha Bank London Ltd|UK|UK|05/01/2016|Other EU
Alpha Bank AE|UK|UK|05/01/2016|Other EU
BNP Paribas|UK|UK|05/01/2016|Other EU
BNP Paribas Securities Services|UK|UK|05/01/2016|Other EU
Banca IMI Spa|UK|UK|05/01/2016|Other EU
Banca March SA|UK|UK|05/01/2016|Other EU
