NAME|CITY|LAND|Region|Updated
Familie in Not Stiftung des Landes Niedersachsen|Hannover|GERMANY|Europe|10/08/2015
FÜR SIE Handelsgenossenschaft eG Food - Non Food|Köln|GERMANY|Europe|10/08/2015
FÜR SIE Zentralregulierung GmbH|Köln|GERMANY|Europe|10/08/2015
Schweizer-National Versicherungs-Aktiengesellschaft in Deutschland|Frankfurt am Main|GERMANY|Europe|10/08/2015
Spar- und Kreditbank Evangelisch-Freikirchlicher Gemeinden eG|Bad Homburg v d Höhe|GERMANY|Europe|10/08/2015
360 Treasury Systems AG|Frankfurt am Main|GERMANY|Europe|10/08/2015
3i Europe plc Zweigniederlassung Deutschland|Frankfurt am Main|GERMANY|Europe|10/08/2015
A*LEASE Auto- und Anlagenleasing GmbH|Wiesbaden|GERMANY|Europe|10/08/2015
A. Messner Leasing KG|Bremen|GERMANY|Europe|10/08/2015
A.B.S. Global Factoring AG|Wiesbaden|GERMANY|Europe|10/08/2015
A/I/M Leasing + Finance GmbH|Hamburg|GERMANY|Europe|10/08/2015
AAB Leasing GmbH|Augsburg, Bay|GERMANY|Europe|10/08/2015
Aachener Bank eG|Aachen|GERMANY|Europe|10/08/2015
Aachener Bausparkasse AG|Aachen|GERMANY|Europe|10/08/2015
Aachener Grundvermögen Kapitalverwaltungsgesellschaft mit beschränkter Haftung|Köln|GERMANY|Europe|10/08/2015
AachenMünchener Lebensversicherung AG|Aachen|GERMANY|Europe|10/08/2015
AachenMünchener Versicherung AG|Aachen|GERMANY|Europe|10/08/2015
Aareal Bank AG|Wiesbaden|GERMANY|Europe|10/08/2015
ABACUS Asset Management GmbH|Bremen|GERMANY|Europe|10/08/2015
ABC International Bank plc, Zweigniederlassung Frankfurt am Main|Frankfurt am Main|GERMANY|Europe|10/08/2015
abcbank GmbH|Köln|GERMANY|Europe|10/08/2015
abcfinance GmbH|Köln|GERMANY|Europe|10/08/2015
ABELE Depotverwaltung GmbH|Nördlingen|GERMANY|Europe|10/08/2015
Aberdeen Asset Management Deutschland AG|Frankfurt am Main|GERMANY|Europe|10/08/2015
ABERDEEN ASSET MANAGERS LIMITED, DEUTSCHLAND BRANCH|Frankfurt am Main|GERMANY|Europe|10/08/2015
ABG Sundal Collier Norge ASA Niederlassung Frankfurt am Main|Frankfurt am Main|GERMANY|Europe|10/08/2015
ABK Allgemeine Beamten Bank AG|Berlin|GERMANY|Europe|10/08/2015
ABN AMRO Bank N.V. Frankfurt Branch|Frankfurt am Main|GERMANY|Europe|10/08/2015
ABN AMRO Clearing Bank N. V. Frankfurt Branch|Frankfurt am Main|GERMANY|Europe|10/08/2015
ABN AMRO Commercial Finance GmbH|Köln|GERMANY|Europe|10/08/2015
ABN AMRO Hypotheken Groep B.V. Deutschland|Bocholt|GERMANY|Europe|10/08/2015
ABN AMRO Lease N.V., Niederlassung Deutschland|Frankfurt am Main|GERMANY|Europe|10/08/2015
Abrechnungs-Service Ludwina Speicher GmbH|Püttlingen|GERMANY|Europe|10/08/2015
Abrechnungsorganisation für Leistungserbringer im Gesundheitswesen GmbH|Datteln|GERMANY|Europe|10/08/2015
