(Do Not Modify) Account|(Do Not Modify) Row Checksum|(Do Not Modify) Modified On|Account Name|Address 1: City|Core Banking Sytem|Description|Primary Contact|Sales Campaign|Source of Data|Website
43b5a3ef-5dd5-e011-b80c-18a905730937|EdJFp3vHrY2GnZTcc5MQmTJXbXiEBiaVO5bLeOq+etw/o7TSOZK0xpzddl1X7f/k97UFtEGBFTjxIkCqiL+nGw==|02/05/2014 09:10|ABN AMRO|London|||||Original EB Data|
187ff898-5d2d-e111-87e2-1cc1de0875ed|BFPaItjfQC6/QzdwBPRS2NfLNLjixAaBt7hxVElpM7RhZoTFT+APPxYLwj8du8yCdTR3aB8hQoEFWQ69srUcWg==|02/05/2014 09:10|ABOC (LONDON) LIMITED|London||||London/UK|FSA|
1e7ff898-5d2d-e111-87e2-1cc1de0875ed|8i+nt510SVTfbANtHJhFkTCF3I6k78MtBJZARkYiqrXl8Z0uTe0cWoHpZWIhJfIAZMg8gzmIcYgcJWzshYgHpQ==|02/05/2014 09:10|Adam & Company plc|London||"Treasury located in Edinburgh.
25 St Andrew Sq
Edinburgh, EH2 1AF
Tel: 0131 225 8484"||London/UK|FSA|
d5fac902-96d7-e411-820b-6c3be5beee6c|xaT2JJPE+3RMFUCXSoUOZsbCwM4muJx0dFA01Q3ITrZEUGD5O1XBt+/nHK6TDptUq2Vu5Gq8w6nWGw5zmiS1pw==|31/03/2015 12:13|AFEX|London||Large MI who does payments. Possibility for Rate Manager or eTrader? (Would have no interest in ePayments as they have a proprietary system)||||https://www.afex.com/unitedkingdom/
b3ff04a1-0843-e311-8b28-984be17c9a93|ef6SZEpQ6T3jDL89tLWXmVH+doZ9L9uBae0bHgqq/+f7r6O0b6eokLK+pc0UwXPqXrhMo1t8fboZfCsYuvpIyQ==|01/11/2013 15:20|Agricultural Bank of China (London)|London||"The predecessor of Agricultural Bank of China is Agricultural Cooperative Bank established in 1951. Since the late 1970s, the Bank has evolved from a state-owned specialized bank to a wholly state-owned commercial bank and subsequently a state-controlled commercial bank. The Bank was restructured into a joint stock limited liability company in January 2009. The Bank was listed on the Shanghai Stock Exchange and the Hong Kong Stock Exchange, respectively in July 2010, which marked the completion of our transformation into a public shareholding commercial bank.
Being one of the major integrated financial service providers in China, the Bank is committed to catering to the needs of Sannong and capitalizing on the synergy between the Urban Areas and the County Areas. The Bank strives to expand into the international market and provides diversified services so as to become a first class modern commercial bank. Capitalizing on the comprehensive business portfolio, extensive distribution network and advanced IT platform, the Bank provides various corporate and retail banking products and services for a broad range of customers and carries out treasury operations for our own accounts or on behalf of customers. Our business scope includes, among others, investment banking, fund management, financial leasing and life insurance. At the end of 2012, the Bank had total assets of RMB13,244,342 million, deposits of RMB10,862,935 million and loans of RMB6,433,399 million. Our capital adequacy ratio and non-performing loan ratio were 12.61% and 1.33%, respectively. The Bank achieved a net profit of RMB145,131 million in 2012. 
The Bank had 23,472 domestic branch outlets, including the Head Office, the Business Department of the Head Office, three specialized institutions managed by the Head Office, 37 tier-1 branches (including branches directly managed by the Head Office), 348 tier-2 branches (including business departments of branches in provinces), 3,482 tier-1 sub-branches (including business departments in municipalities, business departments of branches directly managed by the Head Office and business departments of tier-2 branches), and 19,600 other establishments. Our overseas branch outlets consisted of four overseas branches and five overseas representative offices. Our major subsidiaries consisted of nine domestic subsidiaries and three overseas subsidiaries.
In 2012, the Bank ranked No. 84 in Fortune’s Global 500, and ranked No. 5 in The Banker’s “Top 1000 World Banks” list in terms of profit before tax for the year of 2011. In 2012, the Bank’s issuer credit ratings were assigned A/A-1 by Standard & Poor’s; the bank deposits ratings were assigned A1/P-1 by Moody’s Investors Service; and the long-/short-term foreign-currency issuer default ratings were assigned A/F1 by Fitch Ratings. The Bank’s outlook ratings assigned by the above credit rating agencies were “stable”."||||
331a3fa9-8f1f-e311-b8e6-984be17c9a93|b8ghXH1n0bs7iywB8UsR8acnU5v7IZEBQQ64FEPof7f40UuPDSazRAacywpEOy0cjYijWIpdUnFZWBjmlgRlAw==|01/11/2013 15:20|Agricultural Bank of China (London) DUPLICATE|London||||||
247ff898-5d2d-e111-87e2-1cc1de0875ed|62r6vQ5LYf5dg2mhRbKIMxnN4PF+jGKT1yqX4TSZrE0H5EZbLuDj4ehd8La7+FU++0nlS3YwTlYngE6kAYhciA==|02/05/2014 09:10|Airdrie Savings Bank|London||||London/UK|FSA|
267ff898-5d2d-e111-87e2-1cc1de0875ed|8o3lm6ym5zuFcCgqkHhU4K4zfm4Ey6UaJQtNWqjsoGw823xYpDkGiuse2wEQtWFrUTJXFjHFUidYntbgDamh3Q==|02/05/2014 09:11|Aldermore Bank Plc|London||vH emailed as cannot find a number to call||London/UK|FSA|
287ff898-5d2d-e111-87e2-1cc1de0875ed|KhYpU7/EK6eeKVKE9+8n+w+tbUH2IxfK3NNXLvnW2PMpaTDlPa+GHk4dcnLgarDU0MwU8BqB1aVfex5tXLT5XQ==|02/05/2014 09:11|Allfunds Bank SA|London||"KD - Spoke to a man in the Dealing room by the name of Dan(didnt give surname)who said he was in charge. He told me to said an email to the general email address.

no Treasury in London all activity and decisions are made in madid but the deck guy told me to email him and he will send to the team in Madrid - will do algranados@allfundsbank.com"||London/UK|FSA|
2a7ff898-5d2d-e111-87e2-1cc1de0875ed|c4jgiGk/QqARfIzHmH8lPRRgO2TfcYDfdCWWVUk+pJWkC7UP/O9IBXaquWY/ugFaMphVTylmHpIXoYTptqpkkw==|02/05/2014 09:11|Alliance & Leicester plc|London||||London/UK|FSA|
