Company|Job Title|Country|Category|UPDATED
ABN Amro|Director Operations Europe |Netherlands|Back Office List|19/12/2011
ABN Amro |Head of Back Office OTC & Listed derivatives |Belgium|Back Office List|19/12/2011
ABN Amro|Head of Corporate Actions Backoffice Global Securities |Netherlands|Back Office List|19/12/2011
Akbank|CIO|Turkey|Back Office List|19/12/2011
Akbank|IT Project Management Vice President|Turkey|Back Office List|19/12/2011
Alfa Bank|COO |Romania|Back Office List|19/12/2011
Alfa Bank|Vice President|Ukraine|Back Office List|19/12/2011
Banco Bilbao|Director of IT Transformation|Spain|Back Office List|19/12/2011
Banco Bilbao|VP - Project Finance Europe. Structured Finance EMEA|Spain|Back Office List|19/12/2011
Banco Bilbao|Head of Back Office|Switzerland|Back Office List|19/12/2011
Banco Bilbao|COO|Switzerland|Back Office List|19/12/2011
Banco Bilbao|CIO Retail Bankin, Head of Operations|Spain|Back Office List|19/12/2011
Banco Bilbao|Chief Operatiing Officer & Director|Spain|Back Office List|19/12/2011
Bank of Ireland|Chief Operating Officer - Wealth Management Division|Ireland|Back Office List|19/12/2011
Banco de Portugal|Head of Division (Back-Office and IT support Unit)|Portugal|Back Office List|19/12/2011
Bank of America|SVP Head of Customer Service Operations|Uk|Back Office List|19/12/2011
Barclays|Global COO for Treasury Operations and Operations Control|Uk|Back Office List|19/12/2011
Barclays|Director - Treasury|Uk|Back Office List|19/12/2011
BNP Paribas|Head of IT Back Office & Finance Department|France|Back Office List|19/12/2011
BNP Paribas|COO, Head of Banking Services|France|Back Office List|19/12/2011
BNP Paribas|COO|Switzerland|Back Office List|19/12/2011
BNP Paribas|Head of Banking Operations Client Service Custody|Germany|Back Office List|19/12/2011
Caixa Bank|General Manager General Services Management|Spain|Back Office List|19/12/2011
Caixa Bank|COO|UK|Back Office List|19/12/2011
China Construction Bank|CTO|China |Back Office List|19/12/2011
Citi Bank|Head of Operations|Portugal|Back Office List|19/12/2011
Citi Bank|SVP - Technology Operations Head|Uk|Back Office List|19/12/2011
Citi Bank|WEMEA Head, Citi Shared Services|UK|Back Office List|19/12/2011
Citi Bank|Senior VP, CIO Russia and CIS|Russia|Back Office List|19/12/2011
Citi Bank|Managing Director - CIO EMEA Region|Uk|Back Office List|19/12/2011
Commerzbank|COO IT Transaction Banking & Group Security|Germany|Back Office List|19/12/2011
Commerzbank|Senior VP Operations|Luxembourg|Back Office List|19/12/2011
Commerzbank|Head of Application Operations BO & CFSR |Germany|Back Office List|19/12/2011
Commerzbank|Head of Corporate & Investmentbanking IT|Germany|Back Office List|19/12/2011
Credit Agricole|Head of Back Office|Belgium|Back Office List|19/12/2011
Credit Agricole|CIO |France|Back Office List|19/12/2011
Credit Agricole|Global head of IT for Equity Derivatives|France|Back Office List|19/12/2011
Credit Europe Bank|Head of Operations|UAE|Back Office List|19/12/2011
Credit Europe Bank|Head of Treasury Management|Netherlands|Back Office List|19/12/2011
Credit Suisse|Chief Operating Officer M&A EMEA|UK|Back Office List|19/12/2011
Credit Suisse|Global Head Operational Excellence & Quality – Finance / Accounting|Switzerland|Back Office List|19/12/2011
Credit Suisse|Managing Director – Head of Operational Excellence, COO Division|Switzerland|Back Office List|19/12/2011
Danske Bank|Head of Group Trading and Investment Support|Denmark|Back Office List|19/12/2011
Danske Bank|Head of System & Processes in Card Operation Services|Denmark|Back Office List|19/12/2011
Danske Bank|Deputy COO&CIO|Denmark|Back Office List|19/12/2011
DENIZ BANK AG|Back Office, Head of Department|Austria|Back Office List|19/12/2011
Dexia |General Manager Back Office Financial Markets|Belgium|Back Office List|19/12/2011
Dexia |Head of Back Office Settlement|Italy|Back Office List|19/12/2011
Eg solutions|Marketing Assistant |Uk|Back Office List|19/12/2011
Eg solutions|Head of Client Relationship Management|Uk|Back Office List|19/12/2011
Erste Bank|VP of Treasury Derivates|Austria|Back Office List|19/12/2011
HP|Industry Leader FSI HP Enterprise Services Spain|Spain|Back Office List|19/12/2011
HP|HP Enterprise Services BPO|Spain|Back Office List|19/12/2011
HP|Director de Operativa de Financiación y Servicios|Spain|Back Office List|19/12/2011
HP|Director de Servicios Operativos del Banco Sabadell|Spain|Back Office List|19/12/2011
HSBC|COO|Uk|Back Office List|19/12/2011
HSBC|Global Head of Collateral Management & Client Valuations Operations|Uk|Back Office List|19/12/2011
HSBC|Head of Operations|France|Back Office List|19/12/2011
ING|Head of Operations and IT Business Lending and Head of Real Estate IT||Back Office List|19/12/2011
ING|Operations Director|Belgium|Back Office List|19/12/2011
Ironmountain|Industry Leader FSI HP Enterprise Services|Spain|Back Office List|19/12/2011
Ironmountain|HP Enterprise Services BPO|Spain|Back Office List|19/12/2011
Intesa Sanpaolo|Head of Centralised Back Office|Italy|Back Office List|19/12/2011
Intesa Sanpaolo|Head of Finance Operations – Central Back Office |Italy|Back Office List|19/12/2011
Intesa Sanpaolo|Head of Payments Services – Central Back Office |Italy|Back Office List|19/12/2011
JPMorgan Chase|Head of Internation Private Bank Operations|Switzerland|Back Office List|19/12/2011
JPMorgan Chase|Head of Core Operations|Switzerland|Back Office List|19/12/2011
KBC Group|Head of Operations SEPA and Domestic Transfers|Belgium|Back Office List|19/12/2011
KBC Group|General Manager Payments Operations|Belgium|Back Office List|19/12/2011
KBC Group| CTO - Chief Technology Officer |Belgium|Back Office List|19/12/2011
Kofax|Vice President, BPM and Case Management|UK|Back Office List|19/12/2011
Kofax|Director, Software and Solutions Sales – Iberia and France|France|Back Office List|19/12/2011
Kofax|Sr. Sales Account Executive – Spain|Spain|Back Office List|19/12/2011
Lloyds Banking Group|Head of Electronic Payments|Uk|Back Office List|19/12/2011
Lloyds Banking Group|Retail & Wealth Operations Director|Uk|Back Office List|19/12/2011
Nordea|Executive VP, Head of banking |Sweden|Back Office List|19/12/2011
Nordea|Head of Equity Finance Operations |Sweden|Back Office List|19/12/2011
Nordea|Head of FX/MM Operations|Sweden|Back Office List|19/12/2011
Rabobank|COO International Direct Bank|Netherlands|Back Office List|19/12/2011
Rabobank|MD, Global Head of Financial Markets IT, IS&D|Uk|Back Office List|19/12/2011
Raiffeisen Bank|Deputy Head of Custody & Treasury Back office |Hungary|Back Office List|19/12/2011
Raiffeisen Bank|Chief Operating Officer, Board Member |Hungary|Back Office List|19/12/2011
Raiffeisen Bank|Member of Board Marketing, Liquidity and Treasury Management|Austria|Back Office List|19/12/2011
Raiffeisen Bank|COO-CIO - Member of the board|Romania|Back Office List|19/12/2011
Royal Bank of Scotland |Senior VP, Head of Operations |Netherlands|Back Office List|19/12/2011
Royal Bank of Scotland |Director of Service Management|Uk|Back Office List|19/12/2011
RBS|Head of Lean and Process Management|Uk|Back Office List|19/12/2011
Sberbank|Head of Security Settlement, Custody and Fixed Income|Denmark|Back Office List|19/12/2011
Sberbank|Business CIO, Group Operations|Sweden|Back Office List|19/12/2011
Sberbank|Deputy Director|Russia|Back Office List|19/12/2011
Societe Generale|Deputy Director, Treasury Back Office|Turkey|Back Office List|19/12/2011
Societe Generale|COO Retail Banking |France|Back Office List|19/12/2011
Societe Generale|Chief Information Officer |France|Back Office List|19/12/2011
Societe Generale|Head of Processes and Information Systems |France|Back Office List|19/12/2011
Swedbank|Head of Operations & IT |Sweden|Back Office List|19/12/2011
Swedbank|Head of IT Core Infrastructure |Estonia|Back Office List|19/12/2011
Swedbank|Head of Banking operations |Latvia|Back Office List|19/12/2011
Swedbank|Senior Vice President, Group Treasury|Sweden|Back Office List|19/12/2011
Swedbank|Head of Treasury Investment |Sweden|Back Office List|19/12/2011
Swedbank|Head of Back Office |Sweden|Back Office List|19/12/2011
Top image systems|Director Financial Markets EMEA|Spain|Back Office List|19/12/2011
UBS|Director, Outsourcing & Offshoring, |UK|Back Office List|19/12/2011
UBS|Global Head of Counterparty Risk Operations |Uk|Back Office List|19/12/2011
UBS|Global Head of Back Office Operations |USA|Back Office List|19/12/2011
UBS|Head of Back Office Operations |Switzerland|Back Office List|19/12/2011
Uni Credit|Head of Treasury Back-office |Romania|Back Office List|19/12/2011
Uni Credit|COO Responsabile GBS Strategic Business Area|Italy|Back Office List|19/12/2011
Uni Credit|SVP, Head of Group Treasury |Italy|Back Office List|19/12/2011
Volksbank|Head of Securities and Treasury Back-office |Hungary|Back Office List|19/12/2011
Volksbank|Head of Back office |Austria|Back Office List|19/12/2011
Volksbank|Director Back office|Austria|Back Office List|19/12/2011
Volksbank|COO |Ukraine|Back Office List|19/12/2011
WNS|VP Banking|Uk|Back Office List|19/12/2011
WNS|BPO Leader|Uk|Back Office List|19/12/2011
ABN Amro|VP, Head of Payment, Cash and Cards Operations|Netherlands|Payment in Banking List|19/12/2011
Akbank|Payments System Director|Turkey|Payment in Banking List|19/12/2011
Akbank|Deputy CEO/chief retail banking executive|Turkey|Payment in Banking List|19/12/2011
Alfa Bank|Deputy Chief Technology Officer |Ukraine|Payment in Banking List|19/12/2011
Banco Bilbao BBVA|Innovation of Payments System Director|Spain|Payment in Banking List|19/12/2011
Banco Popular|Director Payments Methods|Spain|Payment in Banking List|19/12/2011
Banco Popolare|Head of Payments Systems& International Applications|Spain|Payment in Banking List|19/12/2011
Bankinter|Innovation Projects Director|Spain|Payment in Banking List|19/12/2011
Bank of Ireland|Head of Group Payments|UK|Payment in Banking List|19/12/2011
Bank of Ireland|Payment Process Director|Ireland|Payment in Banking List|19/12/2011
Barclays|Head of Global Payment Processing|Uk|Payment in Banking List|19/12/2011
Barclays|Senior Product Manager, Global Currency Solutions|Uk|Payment in Banking List|19/12/2011
BNP Paribas|Global Head of Global Transaction Banking|France|Payment in Banking List|19/12/2011
Caixa Bank|Head of Mobile Payments/Project Manager of the Sitges NFC|Spain|Payment in Banking List|19/12/2011
Caixa Geral Deposito |general manager/area payments|Spain|Payment in Banking List|19/12/2011
Citi |EMEA Regional Electronic Banking Tech Head |Uk|Payment in Banking List|19/12/2011
Commerzbank|GS BO Payments|Germany|Payment in Banking List|19/12/2011
Credit Agricole|CTO|France|Payment in Banking List|19/12/2011
Credit Suisse|Director Payments and Cash|Switzerland|Payment in Banking List|19/12/2011
Credit Suisse|VP, EMEA Card Senior Product Director|Switzerland|Payment in Banking List|19/12/2011
Danske Bank|First VP Head of Financial Infrastructure|Denmark|Payment in Banking List|19/12/2011
Datacard|Financial Instant Issuance Solutions Sales Manager|Uk|Payment in Banking List|19/12/2011
Datacard|Key Account Manager|Spain|Payment in Banking List|19/12/2011
Denizbank|Executive VP Cards Payments System|Turkey|Payment in Banking List|19/12/2011
Dexia|Head of Domain Management Cards|Belgium|Payment in Banking List|19/12/2011
Dexia|Strategic Marketeer|Belgium|Payment in Banking List|19/12/2011
Erste Bank|Head international Payments|Hungary|Payment in Banking List|19/12/2011
Eurobank EFG|Payments and Cash Management Department Head|Greece|Payment in Banking List|19/12/2011
Fircosoft|Sales Executive, Continental Europe – MEA|France|Payment in Banking List|19/12/2011
Fircosoft|Sales Manager|Uk|Payment in Banking List|19/12/2011
