Country|country rank|World Rank|Bank|Tier One Capital $m|Assets $m|UPDATED
Saudi Arabia|1|156|National Commercial Bank|2,759|31,357|22/07/2015
Saudi Arabia|2|181|Samba|2,340|21,105|22/07/2015
Saudi Arabia|3|189|Riyad Bank|2,201|19,094|22/07/2015
Saudi Arabia|4|211|Al Rajhi Banking & Investment Corporation|1,936|17,271|22/07/2015
Saudi Arabia|5|286|Banque Saudi Fransi|1,349|14,286|22/07/2015
Saudi Arabia|7|337|Arab National Bank|1,062|13,138|22/07/2015
United Arab Emirates|1|296|Emirates Bank International|1,280|8,678|22/07/2015
United Arab Emirates|2|316|National Bank of Dubai|1,175|9,700|22/07/2015
United Arab Emirates|3|324|Abu Dhabi Commercial Bank|1,135|7,829|22/07/2015
United Arab Emirates|4|328|National Bank of Abu Dhabi|1,110|11,878|22/07/2015
United Arab Emirates|5|349|Mashreqbank|1,018|7,144|22/07/2015
Bahrain|6|743|Bank of Bahrain & Kuwait|320|3,494|22/07/2015
Bahrain|5|690|National Bank of Bahrain|365|3,291|22/07/2015
Egypt|3|607|Banque Misr|455|15,604|22/07/2015
Egypt|4|654|Banque du Caire|394|7,287|22/07/2015
Egypt|7|983|Misr International Bank|180|2,745|22/07/2015
Kuwait|2|406|Kuwait Finance House|844|10,319|22/07/2015
Kuwait|3|424|Gulf Bank|787|8,427|22/07/2015
Kuwait|4|447|Commercial Bank of Kuwait|736|7,459|22/07/2015
Kuwait|7|561|Bank of Kuwait & the Middle East|512|5,074|22/07/2015
Kuwait|5|490|Al-Ahli Bank of Kuwait|643|5,022|22/07/2015
Lebanon|2|568|Blom Bank|507|8,786|22/07/2015
Lebanon|4|669|Banque Audi |383|7,092|22/07/2015
Lebanon|3|616|Byblos Bank|437|6,016|22/07/2015
Oman|1|688|BankMuscat|366|4,044|22/07/2015
Oman|3|848|National Bank of Oman|248|2,123|22/07/2015
Oman|2|812|Oman International Bank|269|1,692|22/07/2015
Qatar|2|745|Commercial Bank of Qatar|315|2,413|22/07/2015
Saudi Arabia|9|468|Saudi Hollandi Bank|681|7,467|22/07/2015
United Arab Emirates|10|857|Bank of Sharjah|243|824|22/07/2015
United Arab Emirates|13|972|National Bank of Sharjah|184|727|22/07/2015
Bahrain|||Addax Bank|||22/07/2015
Bahrain|||Al Baraka Bank|||22/07/2015
Bahrain|||Al Salam Bank|||22/07/2015
Bahrain|||Albaraka Islamic Bank|||22/07/2015
