Name,Location,Federal state,Organisation,Branches,Categ,Country,,,
Raiffeisenbank Bobingen eG,Bobingen,Bavaria,GVB,8 (+ 1 SB),German Coop,Germany,Regional organisations,,
Volksbank Wittenberg eG,Lutherstadt Wittenberg,Saxony-Anhalt,GV,7 (+ 6 SB),German Coop,Germany,,,
Volksbank Paderborn-Höxter-Detmold eG,Paderborn,North Rhine-Westphalia,RWGV,67 (+ 16 SB),German Coop,Germany,Abbreviation,Organisation,Location
Raiffeisenbank Haag-Gars-Maitenbeth eG,Haag in Oberbayern,Bavaria,GVB,6 (+ 2 SB),German Coop,Germany,BWGV,Baden-Württembergischer Genossenschaftsverband,Karlsruhe
Raiffeisenbank Schöllkrippen und Umgebung eG,Schöllkrippen,Bavaria,GVB,6 (+ 1 SB),German Coop,Germany,GVB,Genossenschaftsverband Bayern,München
Vereinigte Volksbank Griesheim-Weiterstadt eG,Griesheim,Hesse,GV,4 (+1 SB),German Coop,Germany,GV,Genossenschaftsverband,Neu-Isenburg
Volksbank Ulm-Biberach eG,Ulm,Baden-Württemberg,BWGV,38 (+ 13 SB),German Coop,Germany,GVWE,Genossenschaftsverband Weser-Ems,Oldenburg
Volksbank Karlsruhe eG,Karlsruhe,Baden-Württemberg,BWGV,29 (+ 23 SB),German Coop,Germany,RWGV,Rheinisch-Westfälischer Genossenschaftsverband,Münster
VR-Bank Lech-Zusam eG,Gersthofen,Bavaria,GVB,28 (+ 1 SB),German Coop,Germany,,,
Volksbank Nahetal eG,Bad Kreuznach,Rhineland-Palatinate,GV,26 (+3 SB),German Coop,Germany,,,
Vereinigte Volksbank Raiffeisenbank Wittlich eG,Wittlich,Rhineland-Palatinate,RWGV,21 (+ 6 SB),German Coop,Germany,,,
Volksbank Gronau-Ahaus eG,Gronau,North Rhine-Westphalia,RWGV,21 (+ 3 SB),German Coop,Germany,,,
VR-Bank Bad Salzungen Schmalkalden eG,Bad Salzungen,Thuringia,GV,18 (+ 5 SB),German Coop,Germany,,,
Volksbank Bad Driburg-Brakel-Steinheim eG,Brakel,North Rhine-Westphalia,RWGV,17 (+ 3 SB),German Coop,Germany,,,
VR-Bank Rhön-Grabfeld eG,Bad Neustadt an der Saale,Bavaria,GVB,16 (+ 24 SB),German Coop,Germany,,,
