Name,Category,Country
"Sparda-Bank Augsburg eG, Augsburg",German Sparda,Germany
"Sparda-Bank Baden-Württemberg eG, Stuttgart",German Sparda,Germany
"Sparda-Bank Berlin eG, Berlin",German Sparda,Germany
"Sparda-Bank Hamburg eG, Hamburg",German Sparda,Germany
"Sparda-Bank Hannover eG, Hannover",German Sparda,Germany
"Sparda-Bank Hessen eG, Frankfurt am Main",German Sparda,Germany
"Sparda-Bank München eG, München",German Sparda,Germany
"Sparda-Bank Münster eG, Münster",German Sparda,Germany
"Sparda-Bank Nürnberg eG, Nürnberg",German Sparda,Germany
"Sparda-Bank Regensburg eG, Regensburg",German Sparda,Germany
"Sparda-Bank Südwest eG, Mainz",German Sparda,Germany
"Sparda-Bank West eG, Düsseldorf",German Sparda,Germany
