Name,Country,Region
Banca Akros,Italy,EU
Banca Aletti,Italy,EU
Banca Carige,Italy,EU
Banca Delle Marche,Italy,EU
Banca di Credito Cooperativo di Cambiano,Italy,EU
Banca Etruria,Italy,EU
Banca Fideuram,Italy,EU
Banca Finnat,Italy,EU
Banca Generali,Italy,EU
Banca IFIS,Italy,EU
Banca Leonardo,Italy,EU
Banca Mediolanum,Italy,EU
Banca Popolare Dell'Emilia Romagna,Italy,EU
Banca Popolare Di Milano,Italy,EU
Banca Popolare di Sondria,Italy,EU
Banca Popolare di Vincenza,Italy,EU
Banca Popolare Sant'Angelo,Italy,EU
Banca Profilo,Italy,EU
Banca Promos,Italy,EU
Banca Sella,Italy,EU
Banca UBAE,Italy,EU
Banco Delle tre Venezie,Italy,EU
Banco di Desio e Della Brianza,Italy,EU
Banco Popolare del Lazio,Italy,EU
Banco Posta,Italy,EU
Banque Internationale Arabe de Tunisie,Italy,EU
Banque MISR,Italy,EU
BCC Binasco-Credicoop,Italy,EU
BCC Cassa Rurale E Atigiana di Cantu,Italy,EU
Belfius Bank,Italy,EU
CARIPARMA,Italy,EU
Cassa di Compensazione e Garanzia,Italy,EU
Cassa di Risparmio di Asti,Italy,EU
Cassa di Risparmio di San Miniato,Italy,EU
Cassa di Risparmio di San Miniato,Italy,EU
Chianti Banca,Italy,EU
Credito Emiliano,Italy,EU
Credito Valtellinese,Italy,EU
Credito Valtellinese,Italy,EU
Credito Valtellinese,Italy,EU
Emirates Lebanon Bank,Italy,EU
GBM Banca,Italy,EU
Iccrea Banca,Italy,EU
Istituto Centrale Delle Banche Popolari,Italy,EU
Monte Titoli,Italy,EU
National Bank of Egypt,Italy,EU
North Africa Commercial Bank,Italy,EU
Permata Bank,Italy,EU
Privredka Banka Zagreb,Italy,EU
UBI Banca,Italy,EU
Unipol Banca,Italy,EU
Veneto Banca,Italy,EU
