UTIL.LOG.EVENT|EVENT|DATE|TIME|USER|MSG|ID|CMD|URI|RETCD|SUBR|TTY|USERNO|PATH|WHO|SENTENCE|HOST|IP|PLATFORM|START|STOP|ELAPSED|PROCESS|FILE|THREAD|CREATE.DATE|ID
20210201-085937377-33ba1eb8910a4|BEGIN|20210201|08:59:37.00671|root|BCC|20210201-085937377-33ba1eb8910a4|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC SIENA.BP SIENA.GEN.TXNS.HELPER|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-085937377-33ba1eb8910a4
20210201-085947387-8f888928af194|BEGIN|20210201|08:59:47.00672|root|BCC|20210201-085947387-8f888928af194|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC SIENA.BP SIENA.GEN.TXN.DATA.HELPER|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-085947387-8f888928af194
20210201-085956396-44580df5d4554|BEGIN|20210201|08:59:56.00673|root|BCC|20210201-085956396-44580df5d4554|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC SIENA.BP SIENA.GEN.TXN.DATA|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-085956396-44580df5d4554
20210201-085956396-4ee62ce05dd84|EXECUTE|20210201|08:59:56.00676|root|CATALOG SIENA.BP SIENA.GEN.TXN.DATA|20210201-085956396-4ee62ce05dd84|CATALOG SIENA.BP SIENA.GEN.TXN.DATA||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC SIENA.BP SIENA.GEN.TXN.DATA|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-085956396-4ee62ce05dd84
20210201-085956396-708e4c0b7ebd4|EXECUTE|20210201|08:59:56.00674|root|FORMAT SIENA.BP SIENA.GEN.TXN.DATA|20210201-085956396-708e4c0b7ebd4|FORMAT SIENA.BP SIENA.GEN.TXN.DATA||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC SIENA.BP SIENA.GEN.TXN.DATA|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-085956396-708e4c0b7ebd4
20210201-085956396-972d22b0c2654|EXECUTE|20210201|08:59:56.00675|root|BASIC SIENA.BP SIENA.GEN.TXN.DATA|20210201-085956396-972d22b0c2654|BASIC SIENA.BP SIENA.GEN.TXN.DATA||1|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC SIENA.BP SIENA.GEN.TXN.DATA|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-085956396-972d22b0c2654
20210201-090003403-2220178b48554|BEGIN|20210201|09:00:03.00677|root|SIENA.GEN.TXNS|20210201-090003403-2220178b48554|SIENA.GEN.TXNS|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|SIENA.GEN.TXNS SPOT|mercury.local|192.168.0.100|Mac||||U_START||SIENA.GEN.TXNS|20210201|20210201-090003403-2220178b48554
20210201-090003403-81257b6eea044|BEGIN|20210201|09:00:03.00678|root|SIENA.CACHE.FETCH|20210201-090003403-81257b6eea044|SIENA.CACHE.FETCH|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|SIENA.GEN.TXNS SPOT|mercury.local|192.168.0.100|Mac||||U_START||SIENA.GEN.TXN.DATA-SPOT|20210201|20210201-090003403-81257b6eea044
20210201-090003403-ad1b3cd96fa84|EXECUTE|20210201|09:00:03.00679|root|"SELECT SIENA.CACHE WITH 1 = ""FX.1M.EURUSD.O"" SAMPLE 10 SAVING UNIQUE 3 TO 2"|20210201-090003403-ad1b3cd96fa84|"SELECT SIENA.CACHE WITH 1 = ""FX.1M.EURUSD.O"" SAMPLE 10 SAVING UNIQUE 3 TO 2"||1|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|SIENA.GEN.TXNS SPOT|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||SIENA.GEN.TXN.DATA-SPOT|20210201|20210201-090003403-ad1b3cd96fa84
20210201-090004404-e7149f72c0f34|TIMING|20210201|09:00:04.00680|root|SIENA.CACHE.FETCH|20210201-090004404-e7149f72c0f34|SIENA.CACHE.FETCH|||U_STOP|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|SIENA.GEN.TXNS SPOT|mercury.local|192.168.0.100|Mac|09.00.03|09.00.03|00.00.00|U_STOP||SIENA.GEN.TXN.DATA-SPOT|20210201|20210201-090004404-e7149f72c0f34
