Company|Category|FullName|Phone|Web|Country|Region|Update
African Bank Limited||Mr L Kirkinis|(011) 256-9000|http://www.africanbank.co.za|South Africa|South Africa|28/04/2014
Bidvest Bank Limited||Mr J J van Niekerk|(011) 407 3000|http://www.bidvestbank.co.za|South Africa|South Africa|28/04/2014
Capitec Bank Limited||Mr G M Fourie|(021) 809-5900|http://www.capitecbank.co.za|South Africa|South Africa|28/04/2014
FirstRand Bank Limited||Mr S E Nxasana|(011) 282 8000|http://www.firstrand.co.za|South Africa|South Africa|28/04/2014
Grindrod Bank Limited||Mr D A Polkinghorne|(031) 333 6600|www.grindrodbank.co.za|South Africa|South Africa|28/04/2014
Investec Bank Limited||Mr S Koseff|(011) 286 7000|http://www.investec.com|South Africa|South Africa|28/04/2014
Nedbank Limited||Mr M W T Brown|(011) 294-4444|www.nedbank.co.za|South Africa|South Africa|28/04/2014
Sasfin Bank Limited||Mr R D E B Sassoon|(011) 809 7500|http://www.sasfin.co.za|South Africa|South Africa|28/04/2014
The Standard Bank of South Africa Limited||Mr S K Tshabalala|(011) 6369111|http://www.standardbank.co.za|South Africa|South Africa|28/04/2014
UBANK Limited||Mr L Vutula|(011) 518 5000|http://www.ubank.co.za|South Africa|South Africa|28/04/2014
ABSA Bank Limited|Foreign Controlled|Ms M D C N C Ramos|011 350 4000|http://www.absa.co.za|South Africa|South Africa|28/04/2014
Albaraka Bank Limited|Foreign Controlled|Mr S Chohan|(031) 366 9000|http://www.albaraka.co.za|South Africa|South Africa|28/04/2014
Habib Overseas Bank Limited|Foreign Controlled|Mr S M A Kazmi|(011) 8347441|http://www.habiboverseas.co.za|South Africa|South Africa|28/04/2014
HBZ Bank Limited|Foreign Controlled|Mr Z A Khan|(031) 267 4400|http://www.hbzbank.co.za|South Africa|South Africa|28/04/2014
Mercantile Bank Limited|Foreign Controlled|Mr K Kumbier|(011) 302 0300|http://www.mercantile.co.za|South Africa|South Africa|28/04/2014
The South African Bank of Athens Limited|Foreign Controlled|Mr S Georgopoulous|(011) 634 4300||South Africa|South Africa|28/04/2014
