Name,Location,ParentCountry
ABSA Bank Ltd,UK,UK
Adam & Company plc,UK,UK
Airdrie Savings Bank,UK,UK
Alliance Trust Savings Ltd,UK,UK
Arbuthnot Latham & Co Ltd,UK,UK
Aldermore Bank plc,UK,UK
Al Rayan Bank plc,UK,UK
Atom Bank plc,UK,UK
Bank and Clients Ltd,UK,UK
Bank of Scotland plc,UK,UK
Barclays Bank plc,UK,UK
Barclays Bank Trust Company Ltd,UK,UK
Bath Investment & Building Society,UK,UK
Beverley Building Society,UK,UK
BIRA Bank Ltd,UK,UK
Buckinghamshire Building Society,UK,UK
CAF Bank Ltd,UK,UK
Cambridge Building Society,UK,UK
Cambridge & Counties Bank Ltd,UK,UK
The Charity Bank Ltd,UK,UK
Charter Court Financial Services,UK,UK
C Hoare & Co,UK,UK
The Chorley & District Building Society,UK,UK
City of Derry Building Society,UK,UK
Close Brothers Ltd,UK,UK
Consolidated Credits Bank Ltd,UK,UK
The Co-operative Bank plc,UK,UK
Coutts & Co,UK,UK
Coventry Building Society,UK,UK
Crown Agents Bank Ltd,UK,UK
Cumberland Building Society,UK,UK
Darlington Building Society,UK,UK
Dudley Building Society,UK,UK
Dunfermline BSSP,UK,UK
Dunfermline Building Society,UK,UK
Earl Shilton Building Society,UK,UK
Ecology Building Society,UK,UK
Furness Building Society,UK,UK
Hampden & Co Plc,UK,UK
Hanley Economic Building Society,UK,UK
Harpenden Building Society,UK,UK
Hinckley & Rugby Building Society,UK,UK
Holmesdale Building Society,UK,UK
HSBC Bank plc,UK,UK
HSBC Bank USA NA,UK,UK
HSBC Private Bank (UK) Ltd,UK,UK
HSBC Trust Company (UK) Ltd,UK,UK
Hampshire Trust Bank plc,UK,UK
Harrods Bank Ltd,UK,UK
The Hongkong & Shanghai Banking Corporation Ltd,UK,UK
Investec Bank plc,UK,UK
Ipswich Building Society,UK,UK
Julian Hodge Bank Ltd,UK,UK
Kingdom Bank Ltd,UK,UK
Leeds Building Society,UK,UK
Leek Building Society,UK,UK
Lloyds Bank Plc,UK,UK
Lloyds Bank Private Banking Ltd,UK,UK
Loughborugh Building Society,UK,UK
Manchester Building Society,UK,UK
The Mansfield Building Society,UK,UK
Market Harborough Building Society,UK,UK
Marks and Spencer Financial Services plc,UK,UK
Marsden Building Society,UK,UK
Melton Mowbray Building Society,UK,UK
Methodist Chapel Aid Ltd,UK,UK
Metro Bank Plc,UK,UK
Monmouthsire Building Society,UK,UK
National Counties Building Society,UK,UK
National Westminster Bank plc,UK,UK
Nationwide Building Society,UK,UK
Nedbank Private Wealth Ltd,UK,UK
Newbury Building Society,UK,UK
N M Rothschild & Sons Ltd,UK,UK
Nottingham Building Society,UK,UK
OakNorth Bank Limited,UK,UK
