Company|region|country|Category
Acorn|UK|UK|Challenger
Aldemore Bank|UK|UK|Challenger
Amaiz|UK|UK|Challenger
ANNA Money|UK|UK|Challenger
Atom|UK|UK|Challenger
BABB|UK|UK|Challenger
BankNorth|UK|UK|Challenger
Bunq|UK|UK|Challenger
Cashplus|UK|UK|Challenger
Centripp|UK|UK|Challenger
Chetwood Financial|UK|UK|Challenger
ClearBank|UK|UK|Challenger
Countingup|UK|UK|Challenger
Dozens|UK|UK|Challenger
Glint|UK|UK|Challenger
gohenry|UK|UK|Challenger
Holvi|UK|UK|Challenger
Jaja Finance|UK|UK|Challenger
Metro Bank|UK|UK|Challenger
Monese|UK|UK|Challenger
Monzo|UK|UK|Challenger
Oak North|UK|UK|Challenger
Omega Bank|UK|UK|Challenger
Pleo|UK|UK|Challenger
Plutus|UK|UK|Challenger
Pockit|UK|UK|Challenger
Raisin|UK|UK|Challenger
Redwood Bank|UK|UK|Challenger
Revolut|UK|UK|Challenger
Secco|UK|UK|Challenger
smile|UK|UK|Challenger
Soldo|UK|UK|Challenger
Squirrel|UK|UK|Challenger
Starling Bank|UK|UK|Challenger
Tandem Bank|UK|UK|Challenger
thinkmoney|UK|UK|Challenger
Tide|UK|UK|Challenger
TransferWise|UK|UK|Challenger
Tuxedo|UK|UK|Challenger
Zopa|UK|UK|Challenger
Aprila Bank|EU|Nordics|Challenger
Bynk|EU|Nordics|Challenger
Holvi|EU|Nordics|Challenger
Hufsy|EU|Nordics|Challenger
Klarna|EU|Nordics|Challenger
Lunar|EU|Nordics|Challenger
Quapital|EU|Nordics|Challenger
Boursorama|EU|France|Challenger
Compte Nickel|EU|France|Challenger
Ditto Bank|EU|France|Challenger
EKO Bank|EU|France|Challenger
Fortuneo|EU|France|Challenger
Hello Bank|EU|France|Challenger
Ma French Bank|EU|France|Challenger
Moneway|EU|France|Challenger
Morning|EU|France|Challenger
Orange Bank|EU|France|Challenger
Qonto|EU|France|Challenger
Xaalys|EU|France|Challenger
Aion|EU|Belgium|Challenger
Anytime|EU|Belgium|Challenger
2Gethner|EU|Spain|Challenger
BNext|EU|Spain|Challenger
Bnc10|EU|Spain|Challenger
EVO Banco|EU|Spain|Challenger
Ferraton Bank|EU|Spain|Challenger
Imagin Bank|EU|Spain|Challenger
Neo|EU|Spain|Challenger
Nomo Banking|EU|Spain|Challenger
Open Bank|EU|Spain|Challenger
Rebellion|EU|Spain|Challenger
Self Bank|EU|Spain|Challenger
Banco BNI Europa|EU|Portugal|Challenger
Buddy Bank|EU|Italy|Challenger
Hype|EU|Italy|Challenger
N26|EU|Germany|Challenger
Consorbank|EU|Germany|Challenger
Fidor Group|EU|Germany|Challenger
Fyrst|EU|Germany|Challenger
Insha|EU|Germany|Challenger
Kontist|EU|Germany|Challenger
Penta|EU|Germany|Challenger
solarisBank|EU|Germany|Challenger
bunq|EU|Holland|Challenger
Knab|EU|Holland|Challenger
Qonto|EU|Holland|Challenger
Neon|SWISS|Switzerland|Challenger
Numbrs|SWISS|Switzerland|Challenger
SEBA Crypto|SWISS|Switzerland|Challenger
Sygnum|SWISS|Switzerland|Challenger
Yapeal|SWISS|Switzerland|Challenger
Fire|EU|Ireland|Challenger
Vialet|EU|Ireland|Challenger
