+----------------------------+----------------------------+
| CodeMajorCurrencyIsoCode   | CodeMinorCurrencyIsoCode   |
|----------------------------+----------------------------|
| AUD                        | CAD                        |
| AUD                        | CHF                        |
| AUD                        | DKK                        |
| AUD                        | HKD                        |
| AUD                        | JPY                        |
| AUD                        | USD                        |
| CAD                        | CHF                        |
| CAD                        | DKK                        |
| CAD                        | JPY                        |
| CAD                        | SEK                        |
| CHF                        | DKK                        |
| CHF                        | HKD                        |
| CHF                        | HUF                        |
| CHF                        | JPY                        |
| CHF                        | NOK                        |
| CHF                        | PLN                        |
| CHF                        | SEK                        |
| CHF                        | ZAR                        |
| EUR                        | AUD                        |
| EUR                        | BDT                        |
| EUR                        | CAD                        |
| EUR                        | CHF                        |
| EUR                        | DKK                        |
| EUR                        | GBP                        |
| EUR                        | HKD                        |
| EUR                        | HUF                        |
| EUR                        | INR                        |
| EUR                        | JMD                        |
| EUR                        | JPY                        |
| EUR                        | NOK                        |
| EUR                        | NZD                        |
| EUR                        | PLN                        |
| EUR                        | RON                        |
| EUR                        | RUB                        |
| EUR                        | SAR                        |
| EUR                        | SEK                        |
| EUR                        | SGD                        |
| EUR                        | USD                        |
| EUR                        | ZAR                        |
| GBP                        | AUD                        |
| GBP                        | CAD                        |
| GBP                        | CHF                        |
| GBP                        | DKK                        |
| GBP                        | HKD                        |
| GBP                        | HUF                        |
| GBP                        | JMD                        |
| GBP                        | JPY                        |
| GBP                        | NOK                        |
| GBP                        | NZD                        |
| GBP                        | PLN                        |
| GBP                        | SEK                        |
| GBP                        | USD                        |
| GBP                        | ZAR                        |
| HKD                        | DKK                        |
| JPY                        | DKK                        |
| JPY                        | HKD                        |
| JPY                        | HUF                        |
| JPY                        | NOK                        |
| JPY                        | ZAR                        |
| NOK                        | DKK                        |
| NOK                        | SEK                        |
| NZD                        | AUD                        |
| NZD                        | CHF                        |
| NZD                        | DKK                        |
| NZD                        | JPY                        |
| NZD                        | USD                        |
| PLN                        | DKK                        |
| PLN                        | HUF                        |
| PLN                        | JPY                        |
| SEK                        | DKK                        |
| SEK                        | HUF                        |
| SEK                        | JPY                        |
| SGD                        | CHF                        |
| SGD                        | DKK                        |
| SGD                        | JPY                        |
| UGX                        | JPY                        |
| USD                        | AED                        |
| USD                        | BDT                        |
| USD                        | BRL                        |
| USD                        | CAD                        |
| USD                        | CHF                        |
| USD                        | CNY                        |
| USD                        | DKK                        |
| USD                        | HKD                        |
| USD                        | HUF                        |
| USD                        | INR                        |
| USD                        | JMD                        |
| USD                        | JPY                        |
| USD                        | NOK                        |
| USD                        | PLN                        |
| USD                        | RUB                        |
| USD                        | SAR                        |
| USD                        | SEK                        |
| USD                        | SGD                        |
| USD                        | ZAR                        |
+----------------------------+----------------------------+
(95 rows affected)
