+----------------------------+----------------------------+
| CodeMajorCurrencyIsoCode   | CodeMinorCurrencyIsoCode   |
|----------------------------+----------------------------|
| AUD                        | USD                        |
| AUD                        | ZAR                        |
| BTC                        | GBP                        |
| EUR                        | AUD                        |
| EUR                        | CHF                        |
| EUR                        | GBP                        |
| EUR                        | KES                        |
| EUR                        | SEK                        |
| EUR                        | USD                        |
| EUR                        | ZAR                        |
| GBP                        | USD                        |
| GBP                        | ZAR                        |
| NZD                        | USD                        |
| USD                        | BRL                        |
| USD                        | CAD                        |
| USD                        | CHF                        |
| USD                        | CNY                        |
| USD                        | COP                        |
| USD                        | CRC                        |
| USD                        | DKK                        |
| USD                        | HKD                        |
| USD                        | JPY                        |
| USD                        | KRW                        |
| USD                        | NOK                        |
| USD                        | SEK                        |
| USD                        | ZAR                        |
| VND                        | CRC                        |
| XAG                        | USD                        |
+----------------------------+----------------------------+
(28 rows affected)
