+-------------+----------------------+-----------+--------------+-------------------+
| ShortName   | FullName             | Country   | InternalId   | InternalDeleted   |
|-------------+----------------------+-----------+--------------+-------------------|
| PAY         | Payments             | GBR       | 22076        | NULL              |
| GPI         | SWIFT GPI            | ECU       | 22077        | NULL              |
| REV         | For Internal Review  | EMC       | 32075        | NULL              |
| ABJ         | Abuja                | NGA       | 32076        | NULL              |
| ABU         | Abu Dhabi            | ARE       | 32077        | NULL              |
| AF          | AF                   | GBR       | 32078        | NULL              |
| AUC         | Auckland             | NZL       | 32079        | NULL              |
| BAN         | Bankok               | THA       | 32080        | NULL              |
| BAT         | Bath                 | GBR       | 32081        | NULL              |
| BEI         | Beijing              | CHN       | 32082        | NULL              |
| BEL         | BELGIUM              | BEL       | 32083        | NULL              |
| BEV         | Beverley             | GBR       | 32084        | NULL              |
| BRA         | Bradford             | GBR       | 32085        | NULL              |
| BRI         | Brierley Hill        | GBR       | 32086        | NULL              |
| BRW         | Barrow               | GBR       | 32087        | NULL              |
| BUE         | Buenos Aires         | ARG       | 32088        | NULL              |
| CAM         | Cambridge            | GBR       | 32089        | NULL              |
| CAN         | CANADA               | CAN       | 32090        | NULL              |
| CAP         | Capetown             | RSA       | 32091        | NULL              |
| CAR         | Cardiff              | GBR       | 32092        | NULL              |
| CHA         | Chalfont St Giles    | GBR       | 32093        | NULL              |
| CHI         | Chicago              | USA       | 32094        | NULL              |
| CHO         | Chorley              | GBR       | 32095        | NULL              |
| CHR         | Christchurch         | NZL       | 32096        | NULL              |
| COV         | Coventry             | GBR       | 32097        | NULL              |
| CPA         | Cape Town            | ZAR       | 32098        | NULL              |
| CPN         | Copenhagen           | DNK       | 32099        | NULL              |
| CRL         | Carlisle             | GBR       | 32100        | NULL              |
| DEP         | Deposit Transactions | GBR       | 32101        | NULL              |
| DRL         | Darlington           | GBR       | 32102        | NULL              |
| DUB         | Dubai                | ARE       | 32103        | NULL              |
| DUN         | Dunedin              | NZL       | 32104        | NULL              |
| EDI         | Edinburgh            | GBR       | 32105        | NULL              |
| EPS         | Epsom                | GBR       | 32106        | NULL              |
| EST         | Eastern              | EST       | 32107        | NULL              |
| EUR         | EUR accounts         | GBR       | 32108        | NULL              |
| FFT         | Frankfurt            | DEU       | 32109        | NULL              |
| FRA         | FRANCE               | FRA       | 32110        | NULL              |
| GLT         | Lloyds GLT           | GBR       | 32111        | NULL              |
| GRP         | Group                | GBR       | 32112        | NULL              |
| HAM         | Hamilton             | NZL       | 32113        | NULL              |
| HAN         | Hanley               | GBR       | 32114        | NULL              |
| HAR         | Harpenden            | GBR       | 32115        | NULL              |
| HEL         | Helsinki             | FIN       | 32116        | NULL              |
| IPS         | Ipswich              | GBR       | 32117        | NULL              |
| IST         | Istanbul             | TUR       | 32118        | NULL              |
| JAK         | Jakarta              | IDN       | 32119        | NULL              |
| JHB         | Johannesburg         | ZAR       | 32120        | NULL              |
| KUA         | Kuaka Lumpur         | MYS       | 32121        | NULL              |
| LAG         | Lagos                | NGA       | 32122        | NULL              |
| LEE         | Leeds                | GBR       | 32123        | NULL              |
| LEI         | Leicester            | GBR       | 32124        | NULL              |
| LKE         | Leeke                | GBR       | 32125        | NULL              |
| LON         | London               | GBR       | 32126        | NULL              |
| LOU         | Loughborough         | GBR       | 32127        | NULL              |
| LTU         | Lithuania            | LIT       | 32128        | NULL              |
| LVA         | Latvia               | LVA       | 32129        | NULL              |
| MAD         | Madrid               | ESP       | 32130        | NULL              |
| MAN         | Manila               | PHL       | 32131        | NULL              |
| MAR         | Margin Trading       | GBR       | 32132        | NULL              |
| MCH         | Manchester           | GBR       | 32133        | NULL              |
| MEL         | Melton Mowbray       | GBR       | 32134        | NULL              |
| MIL         | Milan                | ITA       | 32135        | NULL              |
| MKT         | Market Harborough    | GBR       | 32136        | NULL              |
| MNM         | Manama               | BHR       | 32137        | NULL              |
| MOM         | Mombassa             | KEN       | 32138        | NULL              |
| MSF         | Mansfield            | GBR       | 32139        | NULL              |
| MUM         | Mumbai               | IND       | 32140        | NULL              |
| MUS         | Muscat               | OMN       | 32141        | NULL              |
| NAI         | Nairobi              | KEN       | 32142        | NULL              |
| NBY         | Newbury              | GBR       | 32143        | NULL              |
| NEL         | Nelson               | GBR       | 32144        | NULL              |
| NEW         | Newcastle Upon Type  | GBR       | 32145        | NULL              |
| NOR         | Norway               | NOR       | 32146        | NULL              |
| NOS         | NOSTRO               | GBR       | 32147        | NULL              |
| NOT         | Nottingham           | GBR       | 32148        | NULL              |
| NPT         | Newport              | GBR       | 32149        | NULL              |
| NYK         | NEW YORK             | USA       | 32150        | NULL              |
| OFF         | Office               | GBR       | 32151        | NULL              |
| OTH         | WORLDWIDE            | GBR       | 32152        | NULL              |
| PAR         | Paris                | FRA       | 32153        | NULL              |
| REI         | Reigate              | GBR       | 32154        | NULL              |
| RES         | Reserve Accounts     | GBR       | 32155        | NULL              |
| ROI         | Republic of Ireland  | IRL       | 32156        | NULL              |
| ROT         | Rotterdam            | NLD       | 32157        | NULL              |
