+----------------------------+----------------------------+
| CodeMajorCurrencyIsoCode   | CodeMinorCurrencyIsoCode   |
|----------------------------+----------------------------|
| AUD                        | CAD                        |
| AUD                        | CHF                        |
| AUD                        | DKK                        |
| AUD                        | HKD                        |
| AUD                        | JPY                        |
| AUD                        | USD                        |
| BTC                        | GBP                        |
| BTC                        | USD                        |
| BWP                        | USD                        |
| CAD                        | CHF                        |
| CAD                        | DKK                        |
| CAD                        | JPY                        |
| CAD                        | SEK                        |
| CHF                        | CZK                        |
| CHF                        | DKK                        |
| CHF                        | HKD                        |
| CHF                        | HUF                        |
| CHF                        | JPY                        |
| CHF                        | MXN                        |
| CHF                        | NOK                        |
| CHF                        | PLN                        |
| CHF                        | SEK                        |
| CHF                        | THB                        |
| CHF                        | TRY                        |
| CHF                        | VND                        |
| CHF                        | ZAR                        |
| CNY                        | BOP                        |
| CYP                        | BOP                        |
| CZK                        | DKK                        |
| CZK                        | HUF                        |
| ETH                        | BTC                        |
| ETH                        | GBP                        |
| ETH                        | USD                        |
| EUR                        | AED                        |
| EUR                        | AUD                        |
| EUR                        | CAD                        |
| EUR                        | CHF                        |
| EUR                        | CZK                        |
| EUR                        | DKK                        |
| EUR                        | GBP                        |
| EUR                        | HKD                        |
| EUR                        | HUF                        |
| EUR                        | IDR                        |
| EUR                        | INR                        |
| EUR                        | JPY                        |
| EUR                        | KES                        |
| EUR                        | KWD                        |
| EUR                        | LTL                        |
| EUR                        | LVL                        |
| EUR                        | MAD                        |
| EUR                        | MUR                        |
| EUR                        | MXN                        |
| EUR                        | MYR                        |
| EUR                        | NGN                        |
| EUR                        | NOK                        |
| EUR                        | NZD                        |
| EUR                        | OMR                        |
| EUR                        | PHP                        |
| EUR                        | PLN                        |
| EUR                        | RON                        |
| EUR                        | RUB                        |
| EUR                        | SAR                        |
| EUR                        | SEK                        |
| EUR                        | SGD                        |
| EUR                        | THB                        |
| EUR                        | TND                        |
| EUR                        | TRY                        |
| EUR                        | TWD                        |
| EUR                        | TZS                        |
| EUR                        | UGX                        |
| EUR                        | USD                        |
| EUR                        | VND                        |
| EUR                        | ZAR                        |
| GBP                        | AUD                        |
| GBP                        | CAD                        |
| GBP                        | CHF                        |
| GBP                        | CZK                        |
| GBP                        | DKK                        |
| GBP                        | HKD                        |
| GBP                        | HUF                        |
| GBP                        | JPY                        |
| GBP                        | KES                        |
| GBP                        | NGN                        |
| GBP                        | NOK                        |
| GBP                        | NZD                        |
| GBP                        | OMR                        |
| GBP                        | PLN                        |
| GBP                        | SEK                        |
| GBP                        | TZS                        |
| GBP                        | UGX                        |
| GBP                        | USD                        |
| EUR                        | KRW                        |
| GBP                        | VND                        |
| GBP                        | XRP                        |
| GBP                        | ZAR                        |
| HKD                        | DKK                        |
| INR                        | KES                        |
| JPY                        | CZK                        |
| JPY                        | DKK                        |
| JPY                        | HKD                        |
| JPY                        | HUF                        |
| JPY                        | KES                        |
| JPY                        | MXN                        |
| JPY                        | NOK                        |
| JPY                        | TZS                        |
| JPY                        | ZAR                        |
| KES                        | TZS                        |
| LTC                        | BTC                        |
| LTL                        | DKK                        |
| LVL                        | DKK                        |
| MXN                        | DKK                        |
| NOK                        | DKK                        |
| NOK                        | SEK                        |
| NZD                        | AUD                        |
| NZD                        | CHF                        |
| NZD                        | DKK                        |
| NZD                        | JPY                        |
| NZD                        | USD                        |
| PLN                        | CZK                        |
| PLN                        | DKK                        |
| PLN                        | HUF                        |
| PLN                        | JPY                        |
| SEK                        | DKK                        |
| SEK                        | HUF                        |
| SEK                        | JPY                        |
| SGD                        | CHF                        |
| SGD                        | DKK                        |
| SGD                        | JPY                        |
| THB                        | DKK                        |
| TRY                        | DKK                        |
| TRY                        | HUF                        |
| TRY                        | JPY                        |
| TRY                        | NOK                        |
| TRY                        | PLN                        |
| TRY                        | SEK                        |
| TRY                        | ZAR                        |
| UGX                        | JPY                        |
| UGX                        | KES                        |
| USD                        | AED                        |
| USD                        | ARS                        |
| USD                        | BRL                        |
| USD                        | CAD                        |
| USD                        | CHF                        |
| USD                        | CLP                        |
| USD                        | CNY                        |
| USD                        | COP                        |
| USD                        | DKK                        |
| USD                        | EEK                        |
| USD                        | HKD                        |
| USD                        | HUF                        |
| USD                        | IDR                        |
| USD                        | INR                        |
| USD                        | JPY                        |
| USD                        | KES                        |
| USD                        | KRW                        |
| USD                        | KWD                        |
| USD                        | LTL                        |
| USD                        | LVL                        |
| USD                        | MAD                        |
| USD                        | MUR                        |
| USD                        | MXN                        |
| USD                        | MYR                        |
| USD                        | NGN                        |
| USD                        | NOK                        |
| USD                        | OMR                        |
| USD                        | PHP                        |
| USD                        | PKR                        |
| USD                        | PLN                        |
| USD                        | RUB                        |
| USD                        | SAR                        |
| USD                        | SEK                        |
| USD                        | SGD                        |
| USD                        | THB                        |
| USD                        | TND                        |
| USD                        | TRY                        |
| USD                        | TWD                        |
| USD                        | TZS                        |
| USD                        | UGX                        |
| USD                        | USD                        |
| USD                        | VND                        |
| USD                        | ZAR                        |
| XRP                        | BTC                        |
| XRP                        | USD                        |
| ZAR                        | DKK                        |
| USD                        | CZK                        |
+----------------------------+----------------------------+
(185 rows affected)
