UTIL.LOG.EVENT|EVENT|MSG|CMD|SUBR|HOST|DATE|TIME
20200821-604d665410784f7dbf6cfd7|EXECUTE||SELECT UTIL.LOG WITH CREATE.DATE < "20200819"|U_OS.EXECUTE|mercury.local|20200821|11.17.54
20200821-ced267b8b080412391e02dc|EXECUTE||SELECT LOGS WITH CREATE.DATE < "20200819"|U_OS.EXECUTE|mercury.local|20200821|11.17.54
20200821-1e3ed871a13a4e3fa00c740|OS.COMMAND|crontab: no crontab for root|crontab -l|U_OS.COMMAND|mercury.local|20200821|11.17.54
20200821-b6c81203597a45028e46e0b|EXECUTE||SELECT UTIL.LOG.EVENT WITH CREATE.DATE < "20200819"|U_OS.EXECUTE|mercury.local|20200821|11.17.54
20200821-bfa95c9f82404c6a847b702|BEGIN|SIENA.PURGE.POST||U_START|mercury.local|20200821|11.17.52
20200821-def384da48e345588a8fecb|BEGIN|SIENA.CONFIGBACKUP.HELPER||U_START|mercury.local|20200821|11.17.54
20200821-048b4d8091a944279b63381|BEGIN|||U_START|mercury.local|20200821|11.17.51
20200821-9658a5279c2b4b2ba039a83|TIMING|SIENA.CONFIGBACKUP.HELPER||U_STOP|mercury.local|20200821|11.17.54
20200821-f990bfff51754fe6a3dd6f5|EXECUTE||SELECT SIENA.PROCESSED WITH CREATE.DATE < "20200819"|U_OS.EXECUTE|mercury.local|20200821|11.17.54
20200821-c36913ee3cc242a0bfcb0d3|EXECUTE||SELECT UTIL.SQL.CMD WITH CREATE.DATE < "20200819"|U_OS.EXECUTE|mercury.local|20200821|11.17.54
20200821-24cad542eb1149e39c041ff|OS.COMMAND||git add .|U_OS.COMMAND|mercury.local|20200821|11.17.54
20200821-9f829db219aa49d3ab0725b|BEGIN|||U_START|mercury.local|20200821|11.17.54
20200821-af218e291a9542ec9fd31dd|BEGIN|||U_START|mercury.local|20200821|11.17.51
20200821-9705a74665db42c8b26d37a|EXECUTE||SELECT UTIL.LOG.CMD WITH CREATE.DATE < "20200819"|U_OS.EXECUTE|mercury.local|20200821|11.17.54
20200821-00bed075a26641999e5f952|OS.COMMAND|To https://github.com/mt1976/dev.gitý ! [rejected]                master -> master (non-fast-forward)ýerror: failed to push some refs to 'https://github.com/mt1976/dev.git'ýhint: Updates were rejected because the tip of your current branch is behindýhint: its remote counterpart. Integrate the remote changes (e.g.ýhint: 'git pull ...') before pushing again.ýhint: See the 'Note about fast-forwards' in 'git push --help' for details.|git push|U_OS.COMMAND|mercury.local|20200821|11.17.55
20200821-1f40a1d73e2340ee9e22cb4|TIMING|SIENA.PURGE.POST||U_STOP|mercury.local|20200821|11.17.54
